ID,N_VICTIMAS,AAAA,VICTIMA,ACUSADO,COORDENADAS,SEMESTRE
2016-0001,1,2016,MOTO,AUTO,"-34.68757022, -58.47533969",2016_1
2016-0002,1,2016,AUTO,PASAJEROS,"-34.66977709, -58.50877521",2016_1
2016-0003,1,2016,MOTO,AUTO,"-34.63189362, -58.39040293",2016_1
2016-0004,1,2016,MOTO,SD,"-34.68092974, -58.46503904",2016_1
2016-0005,1,2016,MOTO,PASAJEROS,"-34.62246630, -58.38718297",2016_1
2016-0008,1,2016,MOTO,OBJETO FIJO,"-34.68475866, -58.44451316",2016_1
2016-0009,1,2016,MOTO,AUTO,"-34.60825440, -58.50095869",2016_1
2016-0010,1,2016,MOTO,AUTO,"-34.66977709, -58.50877521",2016_1
2016-0012,1,2016,MOTO,CARGAS,"-34.61303893, -58.38048577",2016_1
2016-0013,1,2016,PEATON,AUTO,"-34.62477387, -58.39114932",2016_1
2016-0015,1,2016,PEATON,AUTO,"-34.59912758, -58.43760020",2016_1
2016-0016,1,2016,MOTO,AUTO,"-34.64291993, -58.36882665",2016_1
2016-0017,1,2016,PEATON,MOTO,"-34.65970435, -58.44989671",2016_1
2016-0019,1,2016,PEATON,PASAJEROS,"-34.65468721, -58.50990884",2016_1
2016-0020,1,2016,PEATON,AUTO,"-34.60653282, -58.37952223",2016_1
2016-0021,1,2016,AUTO,AUTO,"-34.63063795, -58.45157703",2016_1
2016-0022,1,2016,MOTO,AUTO,"-34.61079875, -58.38144696",2016_1
2016-0025,1,2016,AUTO,AUTO,"-34.70524971, -58.46244952",2016_1
2016-0026,1,2016,AUTO,OBJETO FIJO,"-34.54738649, -58.49216191",2016_1
2016-0027,1,2016,AUTO,AUTO,"-34.63852623, -58.44497874",2016_1
2016-0028,1,2016,PEATON,CARGAS,"-34.60028648, -58.38199706",2016_1
2016-0029,1,2016,PEATON,PASAJEROS,"-34.54153077, -58.47378664",2016_1
2016-0031,1,2016,MOTO,PASAJEROS,"-34.69843756, -58.47064556",2016_1
2016-0034,1,2016,PEATON,PASAJEROS,"-34.65076549, -58.40623949",2016_1
2016-0035,1,2016,MOTO,PASAJEROS,"-34.60443527, -58.39228965",2016_1
2016-0036,1,2016,MOTO,PASAJEROS,"-34.63668504, -58.37813396",2016_1
2016-0037,1,2016,MOTO,MOTO,"-34.64358293, -58.46275892",2016_1
2016-0038,1,2016,PEATON,PASAJEROS,"-34.67892743, -58.49683458",2016_1
2016-0039,1,2016,MOTO,PASAJEROS,"-34.60883960, -58.40603217",2016_1
2016-0041,2,2016,MOTO,CARGAS,"-34.63350444, -58.46076550",2016_1
2016-0043,1,2016,PEATON,CARGAS,"-34.67494416, -58.47832463",2016_1
2016-0044,1,2016,MOTO,MULTIPLE,"-34.63693953, -58.43213235",2016_1
2016-0045,1,2016,MOTO,SD,"-34.53476874, -58.46743471",2016_1
2016-0047,1,2016,PEATON,PASAJEROS,"-34.62571878, -58.38247061",2016_1
2016-0048,1,2016,PEATON,PASAJEROS,"-34.59170240, -58.44759966",2016_1
2016-0049,1,2016,SD,SD,"-34.63657525428238, -58.37714647568196",2016_1
2016-0050,1,2016,PEATON,PASAJEROS,"-34.68550712, -58.47305463",2016_1
2016-0051,1,2016,MOTO,CARGAS,"-34.65076549, -58.40623949",2016_1
2016-0052,1,2016,MOTO,SD,"., .",2016_1
2016-0053,1,2016,PEATON,PASAJEROS,"-34.57558053, -58.48429180",2016_1
2016-0054,1,2016,MOTO,MOTO,"-34.68795245, -58.48695354",2016_1
2016-0055,1,2016,PEATON,CARGAS,"-34.57964781, -58.40021959",2016_1
2016-0056,1,2016,MOTO,OBJETO FIJO,"-34.57660058, -58.42957885",2016_1
2016-0058,1,2016,PEATON,MOTO,"-34.62556293, -58.38247542",2016_1
2016-0059,1,2016,PEATON,PASAJEROS,"-34.62728101, -58.38222219",2016_1
2016-0064,1,2016,PEATON,PASAJEROS,"-34.62953445, -58.49485242",2016_1
2016-0065,1,2016,PEATON,AUTO,"-34.61068024, -58.45227946",2016_1
2016-0067,1,2016,MOTO,PASAJEROS,"-34.67512760, -58.48455411",2016_1
2016-0068,1,2016,MOTO,PASAJEROS,"-34.58418569, -58.39056593",2016_1
2016-0069,1,2016,AUTO,CARGAS,"-34.62704273, -58.39118948",2016_1
2016-0073,1,2016,MOTO,CARGAS,"-34.62025108, -58.49021952",2016_1
2016-0074,1,2016,AUTO,AUTO,"-34.67732118, -58.49896559",2016_1
2016-0075,1,2016,PEATON,AUTO,"-34.66874679, -58.47461076",2016_1
2016-0076,1,2016,PEATON,PASAJEROS,"-34.60356211, -58.46210891",2016_1
2016-0077,1,2016,PEATON,PASAJEROS,"-34.60536123, -58.37027770",2016_1
2016-0078,1,2016,MOTO,MOTO,"-34.61463830, -58.40491455",2016_1
2016-0079,1,2016,AUTO,AUTO,"-34.54864492, -58.45504154",2016_1
2016-0080,1,2016,AUTO,SD,"-34.63931752, -58.52927982",2016_1
2016-0081,1,2016,MOTO,AUTO,"-34.55904606, -58.48721060",2016_1
2016-0082,1,2016,PEATON,AUTO,"-34.64228803, -58.42273092",2016_1
2016-0083,1,2016,PEATON,MOTO,"-34.62539009, -58.44788671",2016_1
2016-0084,1,2016,PEATON,PASAJEROS,"-34.60135531, -58.38110563",2016_1
2016-0085,1,2016,MOTO,OTRO,"-34.65734100, -58.42378834",2016_1
2016-0086,1,2016,PEATON,PASAJEROS,"-34.63652467, -58.48727942",2016_1
2016-0087,1,2016,MOTO,OBJETO FIJO,"-34.62907067, -58.37864583",2016_2
2016-0088,1,2016,PEATON,AUTO,"-34.56767549, -58.50151750",2016_2
2016-0089,1,2016,PEATON,AUTO,"-34.55185825, -58.43233425",2016_2
2016-0090,1,2016,PEATON,PASAJEROS,"-34.61112240, -58.41971993",2016_2
